facility_name,facility_type,commodity,value,units,phase_of_matter,io
candidate_gft_10717,processor,forest_residuals,18707.3286,ton,solid,i
candidate_gft_10717,processor,road_fuel,663.321,kgal,liquid,o
candidate_gft_10717,processor,jet_fuel,442.214,kgal,liquid,o
candidate_gft_11521,processor,forest_residuals,106255.4898,ton,solid,i
candidate_gft_11521,processor,road_fuel,3767.6201,kgal,liquid,o
candidate_gft_11521,processor,jet_fuel,2511.7425,kgal,liquid,o
candidate_gft_11563,processor,forest_residuals,24234.394,ton,solid,i
candidate_gft_11563,processor,road_fuel,859.3074,kgal,liquid,o
candidate_gft_11563,processor,jet_fuel,572.8716,kgal,liquid,o
candidate_gft_12530,processor,forest_residuals,12924.3836,ton,solid,i
candidate_gft_12530,processor,road_fuel,458.2795,kgal,liquid,o
candidate_gft_12530,processor,jet_fuel,305.5112,kgal,liquid,o
candidate_gft_13996,processor,forest_residuals,22773.4749,ton,solid,i
candidate_gft_13996,processor,road_fuel,807.5041,kgal,liquid,o
candidate_gft_13996,processor,jet_fuel,538.3403,kgal,liquid,o
candidate_gft_14232,processor,forest_residuals,230051.8894,ton,solid,i
candidate_gft_14232,processor,road_fuel,8157.21,kgal,liquid,o
candidate_gft_14232,processor,jet_fuel,5438.14,kgal,liquid,o
candidate_gft_14412,processor,forest_residuals,356299.8843,ton,solid,i
candidate_gft_14412,processor,road_fuel,12633.7187,kgal,liquid,o
candidate_gft_14412,processor,jet_fuel,8422.4876,kgal,liquid,o
candidate_gft_14415,processor,forest_residuals,244929.406,ton,solid,i
candidate_gft_14415,processor,road_fuel,8684.7299,kgal,liquid,o
candidate_gft_14415,processor,jet_fuel,5789.8284,kgal,liquid,o
candidate_gft_15727,processor,forest_residuals,87461.0392,ton,solid,i
candidate_gft_15727,processor,road_fuel,3101.2003,kgal,liquid,o
candidate_gft_15727,processor,jet_fuel,2067.4711,kgal,liquid,o
candidate_gft_17408,processor,forest_residuals,37034.3557,ton,solid,i
candidate_gft_17408,processor,road_fuel,1313.1673,kgal,liquid,o
candidate_gft_17408,processor,jet_fuel,875.4491,kgal,liquid,o
candidate_gft_18347,processor,forest_residuals,305279.6536,ton,solid,i
candidate_gft_18347,processor,road_fuel,10824.6418,kgal,liquid,o
candidate_gft_18347,processor,jet_fuel,7216.4321,kgal,liquid,o
candidate_gft_18570,processor,forest_residuals,125311.8652,ton,solid,i
candidate_gft_18570,processor,road_fuel,4443.3236,kgal,liquid,o
candidate_gft_18570,processor,jet_fuel,2962.2115,kgal,liquid,o
candidate_gft_2770,processor,forest_residuals,82983.3367,ton,solid,i
candidate_gft_2770,processor,road_fuel,2942.4376,kgal,liquid,o
candidate_gft_2770,processor,jet_fuel,1961.6166,kgal,liquid,o
candidate_gft_4087,processor,forest_residuals,633019.435,ton,solid,i
candidate_gft_4087,processor,road_fuel,22445.6752,kgal,liquid,o
candidate_gft_4087,processor,jet_fuel,14963.7877,kgal,liquid,o
candidate_gft_4226,processor,forest_residuals,166907.6799,ton,solid,i
candidate_gft_4226,processor,road_fuel,5918.2381,kgal,liquid,o
candidate_gft_4226,processor,jet_fuel,3945.6614,kgal,liquid,o
candidate_gft_5782,processor,forest_residuals,61800.994,ton,solid,i
candidate_gft_5782,processor,road_fuel,2191.3469,kgal,liquid,o
candidate_gft_5782,processor,jet_fuel,1460.8937,kgal,liquid,o
candidate_gft_6478,processor,forest_residuals,154991.181,ton,solid,i
candidate_gft_6478,processor,road_fuel,5495.6964,kgal,liquid,o
candidate_gft_6478,processor,jet_fuel,3663.7976,kgal,liquid,o
candidate_gft_7728,processor,forest_residuals,146031.712,ton,solid,i
candidate_gft_7728,processor,road_fuel,5178.0059,kgal,liquid,o
candidate_gft_7728,processor,jet_fuel,3452.0124,kgal,liquid,o
candidate_gft_7544,processor,forest_residuals,68835.5113,ton,solid,i
candidate_gft_7544,processor,road_fuel,2440.7749,kgal,liquid,o
candidate_gft_7544,processor,jet_fuel,1627.1875,kgal,liquid,o
candidate_gft_7783,processor,forest_residuals,7337.0948,ton,solid,i
candidate_gft_7783,processor,road_fuel,260.1595,kgal,liquid,o
candidate_gft_7783,processor,jet_fuel,173.4439,kgal,liquid,o
candidate_gft_8410,processor,forest_residuals,28861.766,ton,solid,i
candidate_gft_8410,processor,road_fuel,1023.3787,kgal,liquid,o
candidate_gft_8410,processor,jet_fuel,682.2567,kgal,liquid,o
candidate_gft_9630,processor,forest_residuals,11308.8166,ton,solid,i
candidate_gft_9630,processor,road_fuel,400.9898,kgal,liquid,o
candidate_gft_9630,processor,jet_fuel,267.3223,kgal,liquid,o
