facility_name,facility_type,commodity,value,units,phase_of_matter,io
rmp_30,raw_material_producer,forest_residuals,11702.448,tons,solid,o
rmp_31,raw_material_producer,forest_residuals,1046.05,tons,solid,o
rmp_32,raw_material_producer,forest_residuals,5813.845982,tons,solid,o
rmp_33,raw_material_producer,forest_residuals,2866.57,tons,solid,o
rmp_34,raw_material_producer,forest_residuals,5595.5,tons,solid,o
rmp_35,raw_material_producer,forest_residuals,2546.340001,tons,solid,o
rmp_36,raw_material_producer,forest_residuals,12236.462,tons,solid,o
rmp_37,raw_material_producer,forest_residuals,49339.54801,tons,solid,o
rmp_38,raw_material_producer,forest_residuals,9393.215999,tons,solid,o
rmp_39,raw_material_producer,forest_residuals,25193.442,tons,solid,o
rmp_40,raw_material_producer,forest_residuals,8970.245998,tons,solid,o
rmp_41,raw_material_producer,forest_residuals,12029.86,tons,solid,o
rmp_42,raw_material_producer,forest_residuals,8275.449987,tons,solid,o
rmp_43,raw_material_producer,forest_residuals,5844.64,tons,solid,o
rmp_44,raw_material_producer,forest_residuals,1121.868,tons,solid,o
rmp_45,raw_material_producer,forest_residuals,7421.567998,tons,solid,o
rmp_46,raw_material_producer,forest_residuals,2482.008,tons,solid,o
rmp_47,raw_material_producer,forest_residuals,2641.82,tons,solid,o
rmp_48,raw_material_producer,forest_residuals,2442.496,tons,solid,o
rmp_49,raw_material_producer,forest_residuals,14036.61,tons,solid,o
rmp_50,raw_material_producer,forest_residuals,1209.62,tons,solid,o
rmp_51,raw_material_producer,forest_residuals,13538.91,tons,solid,o
rmp_52,raw_material_producer,forest_residuals,43813.122,tons,solid,o
rmp_53,raw_material_producer,forest_residuals,12196.336,tons,solid,o
rmp_54,raw_material_producer,forest_residuals,20497.63,tons,solid,o
rmp_55,raw_material_producer,forest_residuals,6415.652,tons,solid,o
rmp_56,raw_material_producer,forest_residuals,3175.882,tons,solid,o
rmp_57,raw_material_producer,forest_residuals,18561.228,tons,solid,o
rmp_58,raw_material_producer,forest_residuals,16454.772,tons,solid,o
rmp_59,raw_material_producer,forest_residuals,23508.56,tons,solid,o
rmp_60,raw_material_producer,forest_residuals,19766.502,tons,solid,o
rmp_61,raw_material_producer,forest_residuals,6889.061993,tons,solid,o
rmp_62,raw_material_producer,forest_residuals,19275.808,tons,solid,o
rmp_63,raw_material_producer,forest_residuals,2636.031999,tons,solid,o
rmp_64,raw_material_producer,forest_residuals,2522.024,tons,solid,o
rmp_65,raw_material_producer,forest_residuals,23029.308,tons,solid,o
rmp_66,raw_material_producer,forest_residuals,24541.55,tons,solid,o
rmp_67,raw_material_producer,forest_residuals,16237.246,tons,solid,o
rmp_68,raw_material_producer,forest_residuals,18954.432,tons,solid,o
rmp_69,raw_material_producer,forest_residuals,14727.334,tons,solid,o
rmp_70,raw_material_producer,forest_residuals,615.104,tons,solid,o
rmp_71,raw_material_producer,forest_residuals,8709.12,tons,solid,o
rmp_72,raw_material_producer,forest_residuals,1586.5,tons,solid,o
rmp_73,raw_material_producer,forest_residuals,11431.658,tons,solid,o
rmp_74,raw_material_producer,forest_residuals,17772.78,tons,solid,o
rmp_75,raw_material_producer,forest_residuals,38481.69001,tons,solid,o
rmp_76,raw_material_producer,forest_residuals,16674.926,tons,solid,o
rmp_77,raw_material_producer,forest_residuals,475.23,tons,solid,o
rmp_78,raw_material_producer,forest_residuals,495.0699993,tons,solid,o
rmp_79,raw_material_producer,forest_residuals,24088.92,tons,solid,o
rmp_80,raw_material_producer,forest_residuals,16401.154,tons,solid,o
rmp_81,raw_material_producer,forest_residuals,26108.474,tons,solid,o
rmp_82,raw_material_producer,forest_residuals,22081.258,tons,solid,o
rmp_83,raw_material_producer,forest_residuals,1562.658,tons,solid,o
rmp_85,raw_material_producer,forest_residuals,13990.08,tons,solid,o
rmp_86,raw_material_producer,forest_residuals,33402.424,tons,solid,o
rmp_87,raw_material_producer,forest_residuals,23515.52,tons,solid,o
rmp_88,raw_material_producer,forest_residuals,4280.192,tons,solid,o
rmp_89,raw_material_producer,forest_residuals,29317.678,tons,solid,o
rmp_90,raw_material_producer,forest_residuals,13913.026,tons,solid,o
rmp_91,raw_material_producer,forest_residuals,401.112,tons,solid,o
